,path,sentence
0,audio/001/common_voice_ga-IE_17571418.mp3,Tá a mála ar an urlár
1,audio/001/common_voice_ga-IE_17571419.mp3,An Phoblacht Doiminiceach
2,audio/001/common_voice_ga-IE_17571420.mp3,Do ghnó féin déan a dhuine
3,audio/001/common_voice_ga-IE_17571424.mp3,Ní raibh mé
4,audio/001/common_voice_ga-IE_17571428.mp3,Dún do bhéal.
5,audio/001/common_voice_ga-IE_17571430.mp3,Ar an lúidín
6,audio/001/common_voice_ga-IE_17571481.mp3,An bhfuil sí anseo inniu
7,audio/001/common_voice_ga-IE_17571482.mp3,Cé leis an leabhar sin
8,audio/001/common_voice_ga-IE_17571483.mp3,Tháinig an tréad amach as an ngleann.
9,audio/001/common_voice_ga-IE_17571484.mp3,"A dhaoine uaisle, a mhúinteoirí, a thuismitheoirí, agus a pháistí ach go háirithe"
10,audio/001/common_voice_ga-IE_17571485.mp3,"Pádraic Ó Conaire, Fíor Ghaedheal agus Sár ughdar Gaedhilge"
11,audio/001/common_voice_ga-IE_17571486.mp3,Tá cat ar bord loinge.
12,audio/001/common_voice_ga-IE_17571489.mp3,"Agus mar a deir siad, tús maith, leath na hoibre"
13,audio/001/common_voice_ga-IE_17571491.mp3,"Ba mhaith liom gach rath a ghuí oraibh, a pháistí sna laethanta scoile atá romhaibh."
14,audio/001/common_voice_ga-IE_17571492.mp3,Éadaí an fhir.
15,audio/001/common_voice_ga-IE_17571493.mp3,Cá mbeidh sí
16,audio/001/common_voice_ga-IE_17571496.mp3,Óráid ag ócáid chun cothrom deich mbliana Ghaelscoil Chluainín a cheiliúradh
17,audio/001/common_voice_ga-IE_17571497.mp3,An treoir le haghaidh scríbhneoireachta.
18,audio/001/common_voice_ga-IE_17571499.mp3,"Tá fear mór ag an tine, a Thaidhg, nach bhfuil"
19,audio/001/common_voice_ga-IE_17571500.mp3,An bhfuil a mbróga orthu
20,audio/001/common_voice_ga-IE_17571516.mp3,Is láidir an bunús í sin don todhchaí
21,audio/001/common_voice_ga-IE_17571517.mp3,Ní fheicim áfach go bhfuil eireaball ort féin
22,audio/001/common_voice_ga-IE_17571519.mp3,Óráid an Uachtaráin Uí Uigínn agus dealbh Phadraic Uí Chonaire á nochtadh aige
23,audio/001/common_voice_ga-IE_17571521.mp3,"Cá bhfuil sí, a Shíle"
24,audio/001/common_voice_ga-IE_19048904.mp3,An Ghréig
25,audio/001/common_voice_ga-IE_19048918.mp3,An leabhar seo
26,audio/001/common_voice_ga-IE_19053144.mp3,Bheadh an Rialtas réidh leis an bhfreagra.
27,audio/001/common_voice_ga-IE_19053147.mp3,Cá mbeidh sé
28,audio/001/common_voice_ga-IE_19053148.mp3,Guím gach rath oraibh don deireadh seachtaine agus i gcomhair na mblianta amach romhainn
29,audio/001/common_voice_ga-IE_19053149.mp3,Tá sí ar an urlár
30,audio/001/common_voice_ga-IE_19053164.mp3,Níl a fhios agam
31,audio/001/common_voice_ga-IE_19053166.mp3,D’iompaigh sé an babhla.
32,audio/001/common_voice_ga-IE_19053167.mp3,An bhean bheag
33,audio/001/common_voice_ga-IE_19053183.mp3,"Is mian liom mo bhuíochas a ghabháil le bhur gCathaoirleach, Paddy O'Mahony, as scríobh chugam"
34,audio/001/common_voice_ga-IE_19053219.mp3,An bord mór
35,audio/001/common_voice_ga-IE_19053220.mp3,Níor chloígh sí leis na rialacha.
36,audio/001/common_voice_ga-IE_19053221.mp3,Ceacht a naoi
37,audio/001/common_voice_ga-IE_19053222.mp3,ní fheadar fós cá mbeidh mé
38,audio/001/common_voice_ga-IE_19053234.mp3,Ghreadfadh sí ar an doras dá mbeadh aon duine istigh.
39,audio/001/common_voice_ga-IE_19053235.mp3,Go n-éirí go geal libh is go raibh míle maith agaibh go léir
40,audio/001/common_voice_ga-IE_19053237.mp3,"An bhfuil an bosca ag an doras, a Thomáis"
41,audio/001/common_voice_ga-IE_19053255.mp3,D'ith mé roinnt aráin.
42,audio/001/common_voice_ga-IE_19053257.mp3,An fear a bhuailim.
43,audio/001/common_voice_ga-IE_18941826.mp3,a Airí
44,audio/001/common_voice_ga-IE_18941828.mp3,"Níl, tá cóta dubh air"
45,audio/001/common_voice_ga-IE_18941838.mp3,"Ní bheidh siad, go deimhin"
46,audio/001/common_voice_ga-IE_18941849.mp3,"A Ard-Leifteanaint, A Chathaoirligh, A Chairde Gael,"
47,audio/001/common_voice_ga-IE_18941856.mp3,Trua don choirpeach
48,audio/001/common_voice_ga-IE_18941857.mp3,Blas an cnó seo.
49,audio/001/common_voice_ga-IE_18941858.mp3,is le mo dheartháir é
50,audio/001/common_voice_ga-IE_18941860.mp3,Ceacht a Sé
51,audio/001/common_voice_ga-IE_18941866.mp3,Ar dheis Dé go raibh a anam dílis
52,audio/001/common_voice_ga-IE_18941868.mp3,Tá capall donn ag an doras
53,audio/001/common_voice_ga-IE_18941869.mp3,An balla ard é sin
54,audio/001/common_voice_ga-IE_18941870.mp3,Ní thuigeann an sách an seang
55,audio/001/common_voice_ga-IE_18941882.mp3,Drochrud a ghabh thar an doras arsa Bairbre
56,audio/001/common_voice_ga-IE_18941883.mp3,Tá searmanais den sórt seo tábhachtach
57,audio/001/common_voice_ga-IE_18941884.mp3,Bíodh an fhís sin beo
58,audio/001/common_voice_ga-IE_18941888.mp3,"Níl, a dhuine uasail"
59,audio/001/common_voice_ga-IE_18941893.mp3,Ní féidir liom tiomáint
60,audio/001/common_voice_ga-IE_18941895.mp3,Bhí leite agus bainne agam
61,audio/001/common_voice_ga-IE_18941901.mp3,Is fóta-iriseoir í.
62,audio/001/common_voice_ga-IE_18941902.mp3,An dtuigeann tú seo?
63,audio/001/common_voice_ga-IE_18941905.mp3,Tá roinnt irisí sa chnuasach agus beagán cóipleabhar chomh maith.
64,audio/001/common_voice_ga-IE_18941924.mp3,Nathair nimhe is fearr
